"transcript_biotype" "entrezgene" "ensembl_gene_id" "ensembl_gene_id_version" "hgnc_symbol" "logFC" "AveExpr" "t" "P.Value" "adj.P.Val"
"CYP8B1" "protein_coding" 1582 "ENSG00000180432" "ENSG00000180432.5" "CYP8B1" 2.94966428678635 5.9536022984469 5.17427973945251 2.98115245425875e-07 0.000297840062122405
"LRCOL1" "protein_coding" 100507055 "ENSG00000204583" "ENSG00000204583.9" "LRCOL1" 2.56938488963176 0.146002646131538 5.09269007844231 4.35294362498211e-07 0.000403828798580483
"ACSM5" "protein_coding" 54988 "ENSG00000183549" "ENSG00000183549.10" "ACSM5" 1.90954826389446 5.21220330860279 5.06734245569376 4.89143923518481e-07 0.000405879604693713
"ACKR2" "protein_coding" 1238 "ENSG00000144648" "ENSG00000144648.15" "ACKR2" 1.56897552918007 2.26483231642272 5.06257103461826 5.00005672551541e-07 0.000405879604693713
"DAO" "protein_coding" 1610 "ENSG00000110887" "ENSG00000110887.7" "DAO" 1.8435750257307 4.58728655029937 5.0045151277007 6.52498821654311e-07 0.000498509099743893
"SRD5A2" "protein_coding" 6716 "ENSG00000277893" "ENSG00000277893.1" "SRD5A2" 2.30015609114155 2.40804180783412 4.96521944386695 7.80479065173027e-07 0.000563159005470404
"ADRA1A" "protein_coding" 148 "ENSG00000120907" "ENSG00000120907.17" "ADRA1A" 2.27315725593089 0.379442523738745 4.93804724295345 8.82777769318191e-07 0.000603448298310772
"CFHR5" "protein_coding" 81494 "ENSG00000134389" "ENSG00000134389.9" "CFHR5" 2.50540754675088 5.24339268574582 4.84073897136655 1.36738431702943e-06 0.000887979375478914
"F9" "protein_coding" 2158 "ENSG00000101981" "ENSG00000101981.11" "F9" 2.76640477433393 5.89516389610231 4.78972989358232 1.71686310761986e-06 0.00106183895436985
"ETNPPL" "protein_coding" 64850 "ENSG00000164089" "ENSG00000164089.8" "ETNPPL" 2.07818303045058 4.6010194968285 4.76692660381312 1.89656926144073e-06 0.00108696997740573
"RTP3" "protein_coding" 83597 "ENSG00000163825" "ENSG00000163825.3" "RTP3" 2.33407442793525 3.124876906605 4.75589139546544 1.99160583170717e-06 0.00108696997740573
"KCNB1" "protein_coding" 3745 "ENSG00000158445" "ENSG00000158445.9" "KCNB1" 2.34128648651502 1.37338081594439 4.75396917243836 2.00856786708789e-06 0.00108696997740573
"ABCB4" "protein_coding" 5244 "ENSG00000005471" "ENSG00000005471.16" "ABCB4" 1.76751990309549 6.00050379847874 4.72721849914473 2.25854073589369e-06 0.00117335708311149
"GLYATL1" "protein_coding" 92292 "ENSG00000166840" "ENSG00000166840.13" "GLYATL1" 2.07519039429185 5.11452294412681 4.69938553704124 2.55147639540866e-06 0.00127456059321414
"CA5A" "protein_coding" 763 "ENSG00000174990" "ENSG00000174990.4" "CA5A" 2.05944689229347 3.01011000223177 4.65819644020424 3.0528648158311e-06 0.00146854104548201
"GNAO1" "protein_coding" 2775 "ENSG00000087258" "ENSG00000087258.14" "GNAO1" 1.92149292947867 1.4972070329344 4.60542866116398 3.83518146221529e-06 0.00177775115915129
"ABCB11" "protein_coding" 8647 "ENSG00000073734" "ENSG00000073734.8" "ABCB11" 2.2734404803507 3.20657175784426 4.5975095855596 3.96941666271847e-06 0.00177775115915129
"CBLN1" "protein_coding" 869 "ENSG00000102924" "ENSG00000102924.11" "CBLN1" 1.78223907090807 0.192269660057533 4.5252105618051 5.40598771382915e-06 0.0023404322809071
"SAA2-SAA4" "protein_coding" 100528017 "ENSG00000255071" "ENSG00000255071.3" "SAA2-SAA4" 2.6940395571911 1.72357437583197 4.51101183503091 5.75386645078048e-06 0.00241068443428183
"AGXT2" "protein_coding" 64902 "ENSG00000113492" "ENSG00000113492.13" "AGXT2" 1.80100971587555 4.19378501408782 4.47975587310086 6.55430935197036e-06 0.00266023030823097
"SAA4" "protein_coding" 6291 "ENSG00000148965" "ENSG00000148965.9" "SAA4" 2.20542243595526 5.19093781337765 4.46494451091896 6.97926355172896e-06 0.00272342064317145
"AQP9" "protein_coding" 366 "ENSG00000103569" "ENSG00000103569.9" "AQP9" 2.22867824395743 7.10703104142725 4.45990206292251 7.12937341144357e-06 0.00272342064317145
"RDH16" "protein_coding" 8608 "ENSG00000139547" "ENSG00000139547.7" "RDH16" 2.12745474092297 5.6893606738066 4.44557663045521 7.57066317616722e-06 0.00279395805906703
"APOF" "protein_coding" 319 "ENSG00000175336" "ENSG00000175336.9" "APOF" 2.0290232192599 4.13208306845563 4.43405343212108 7.94469531494028e-06 0.00279395805906703
"SAA2" "protein_coding" 6289 "ENSG00000134339" "ENSG00000134339.8" "SAA2" 2.84683122573277 4.64552746006797 4.43005553173426 8.10741526732525e-06 0.00279395805906703
"NUGGC" "protein_coding" 389643 "ENSG00000189233" "ENSG00000189233.11" "NUGGC" 1.66141665035183 2.65907305641521 4.42720598058021 8.17450001882869e-06 0.00279395805906703
"FMO3" "protein_coding" 2328 "ENSG00000007933" "ENSG00000007933.12" "FMO3" 1.96116169264826 7.25189931964446 4.39243745761374 9.4523999641806e-06 0.00314789155730199
"NR1I2" "protein_coding" 8856 "ENSG00000144852" "ENSG00000144852.17" "NR1I2" 1.88034013155174 3.51412796619312 4.35766078229523 1.09195081045319e-05 0.00354556428154152
"CYP4F2" "protein_coding" 8529 "ENSG00000186115" "ENSG00000186115.12" "CYP4F2" 1.98211150341655 5.42308782540743 4.34251103250218 1.16261079722773e-05 0.00368292415473018
"SLC10A1" "protein_coding" 6554 "ENSG00000100652" "ENSG00000100652.4" "SLC10A1" 2.34625530987309 4.8637346053804 4.31120406259797 1.32374353374937e-05 0.004093519289604
"AR" "protein_coding" 367 "ENSG00000169083" "ENSG00000169083.16" "AR" 1.69138480782958 5.22906752511222 4.29114124389503 1.43567079165353e-05 0.00433639354465024
"SLC9B2" "protein_coding" 133308 "ENSG00000164038" "ENSG00000164038.14" "SLC9B2" 1.05934490242106 4.13662443441662 4.27176117644584 1.55391143543247e-05 0.00458686402804476
"A1BG" "protein_coding" 1 "ENSG00000121410" "ENSG00000121410.11" "A1BG" 1.9085599681778 5.41105168340968 4.26511253388759 1.59683935429533e-05 0.00460883322968617
"CCL14" "protein_coding" 6358 "ENSG00000276409" "ENSG00000276409.4" "CCL14" 1.26102292012007 0.761239451164616 4.24948819010431 1.70137929686025e-05 0.00480380745817845
"PAQR5" "protein_coding" 54852 "ENSG00000137819" "ENSG00000137819.13" "PAQR5" -2.42705908024656 1.96890516092044 -4.22200543991214 1.90534530085834e-05 0.00522281524162756
"MBL2" "protein_coding" 4153 "ENSG00000165471" "ENSG00000165471.6" "MBL2" 2.02400136647996 5.04756457884792 4.21842980653247 1.9302058176634e-05 0.00522281524162756
"NAT2" "protein_coding" 10 "ENSG00000156006" "ENSG00000156006.4" "NAT2" 1.98502273703516 0.907645822330905 4.20965255090525 1.99972753729738e-05 0.00530050229682007
"GPD1" "protein_coding" 2819 "ENSG00000167588" "ENSG00000167588.12" "GPD1" 1.66418124094167 5.03609912110579 4.19297331434307 2.13818346674912e-05 0.00555414537322751
"ENPP7" "protein_coding" 339221 "ENSG00000182156" "ENSG00000182156.9" "ENPP7" 1.73719739692963 3.14426067291551 4.1517188849076 2.52277647556668e-05 0.00642467075777648
"SLC27A5" "protein_coding" 10998 "ENSG00000083807" "ENSG00000083807.9" "SLC27A5" 1.87867387979051 7.51755321602723 4.12159682242504 2.84475696712629e-05 0.00710532759404543
"ACSM2A" "protein_coding" 123876 "ENSG00000183747" "ENSG00000183747.11" "ACSM2A" 1.99583307780351 6.46775186289442 4.11539977185276 2.91621351597915e-05 0.00714637380104475
"PEMT" "protein_coding" 10400 "ENSG00000133027" "ENSG00000133027.17" "PEMT" 1.1169762080845 5.36383988047364 4.10474669806184 3.0407586490363e-05 0.00728069613936497
"ABCG8" "protein_coding" 64241 "ENSG00000143921" "ENSG00000143921.7" "ABCG8" 1.75074704236786 4.79676987059111 4.10127406992026 3.08314049634334e-05 0.00728069613936497
"CFHR2" "protein_coding" 3080 "ENSG00000080910" "ENSG00000080910.11" "CFHR2" 1.62789649073817 2.36529039642416 4.09453902917478 3.16619790283589e-05 0.00734331756464868
"DEPDC7" "protein_coding" 91614 "ENSG00000121690" "ENSG00000121690.10" "DEPDC7" 1.17234477020689 3.96619869971147 4.04638963834122 3.82672817080071e-05 0.00871956938287011
"SLC13A5" "protein_coding" 284111 "ENSG00000141485" "ENSG00000141485.16" "SLC13A5" 2.32498829938745 6.51562856464903 4.0274250588659 4.13025233773087e-05 0.00924891678662905
"ZNF14" "protein_coding" 7561 "ENSG00000105708" "ENSG00000105708.8" "ZNF14" -1.41597476330793 0.454163100710886 -4.00637329826617 4.47385977736722e-05 0.00980729141059622
"SLC6A13" "protein_coding" 6540 "ENSG00000010379" "ENSG00000010379.15" "SLC6A13" 1.60394462126938 1.79146511375118 4.00314027703844 4.53062430424833e-05 0.00980729141059622
"SULT1B1" "protein_coding" 27284 "ENSG00000173597" "ENSG00000173597.8" "SULT1B1" 1.60871038564084 2.98868835099251 3.99540676846716 4.66881829878815e-05 0.00994075607617384
